date,cpi,inflation_pct,t_years,trend,fitted,residual,synthetic,synthetic_residual
2010-01-01,101.8,1.7999999999999972,0.0,100.90833333333335,101.34455924742358,0.4554407525764219,100.92009440410754,-1.1536194727272147
2010-02-01,101.9,1.9000000000000057,0.08333333333333333,100.90833333333335,101.44153104058525,0.45846895941475907,101.10285873163822,-1.106362480870331
2010-03-01,100.9,0.9000000000000057,0.16666666666666666,100.90833333333335,101.39563293868264,-0.4956329386826326,101.85061693446129,-0.22950342167088422
2010-04-01,99.7,-0.29999999999999716,0.25,100.90833333333335,101.2191633010547,-1.5191633010547037,101.01979866191368,-0.7012051160001249
2010-05-01,99.4,-0.5999999999999943,0.3333333333333333,100.90833333333335,100.95940702459242,-1.5594070245924172,99.4418684890652,-1.7862279859105286
2010-06-01,99.6,-0.4000000000000057,0.4166666666666667,100.90833333333335,100.6859655938028,-1.0859655938028112,99.21081502244327,-1.5226575386402885
2010-07-01,99.8,-0.20000000000000284,0.5,100.90833333333335,100.47210741924312,-0.6721074192431189,98.82846193956635,-1.5412041749555243
2010-08-01,101.2,1.2000000000000028,0.5833333333333334,100.90833333333335,100.37513562608144,0.8248643739185582,98.62383113478663,-1.6103276440614565
2010-09-01,102.9,2.9000000000000057,0.6666666666666666,100.90833333333335,100.42103372798405,2.4789662720159527,100.95137489485546,0.588115259630996
2010-10-01,100.5,0.5,0.75,100.90833333333335,100.59750336561198,-0.0975033656119848,100.38537446193908,-0.3370017515037489
2010-11-01,100.3,0.29999999999999716,0.8333333333333334,100.90833333333335,100.85725964207427,-0.5572596420742713,100.09436515367376,-1.120918362707144
2010-12-01,100.8,0.7999999999999972,0.9166666666666666,100.90833333333335,101.13070107286389,-0.3307010728638886,100.17894731109715,-1.53096011917593
2011-01-01,101.0,1.0,1.0,100.90833333333335,101.34455924742358,-0.34455924742357524,101.16642082732318,-0.9072930495115799
2011-02-01,100.9,0.9000000000000057,1.0833333333333333,100.90833333333335,101.44153104058525,-0.5415310405852409,101.05491229109145,-1.1543089214170976
2011-03-01,101.4,1.4000000000000057,1.1666666666666667,100.90833333333335,101.39563293868264,0.0043670613173674155,101.82164518027092,-0.2584751758612498
2011-04-01,101.3,1.2999999999999972,1.25,100.90833333333335,101.2191633010547,0.08083669894529066,101.07839318925708,-0.6426105886567228
2011-05-01,100.8,0.7999999999999972,1.3333333333333333,100.90833333333335,100.95940702459242,-0.15940702459242573,100.30889643495529,-0.9192000400204421
2011-06-01,100.4,0.4000000000000057,1.4166666666666667,100.90833333333335,100.6859655938028,-0.28596559380279984,99.96489160107616,-0.7685809600073981
2011-07-01,98.7,-1.2999999999999972,1.5,100.90833333333335,100.47210741924312,-1.7721074192431132,99.73101153707483,-0.638654577447042
2011-08-01,99.6,-0.4000000000000057,1.5833333333333333,100.90833333333335,100.37513562608144,-0.7751356260814504,99.5771707163283,-0.6569880625197868
2011-09-01,100.1,0.09999999999999432,1.6666666666666667,100.90833333333335,100.42103372798405,-0.3210337279840587,96.91131703222999,-3.451942602994478
2011-10-01,100.0,0.0,1.75,100.90833333333335,100.59750336561198,-0.5975033656119848,97.95935273551083,-2.763023477931995
2011-11-01,100.1,0.09999999999999432,1.8333333333333333,100.90833333333335,100.85725964207427,-0.7572596420742741,98.41855124465387,-2.7967322717270378
2011-12-01,100.2,0.20000000000000284,1.9166666666666667,100.90833333333335,101.13070107286389,-0.9307010728638829,100.2148734535857,-1.495033976687381
2012-01-01,100.2,0.20000000000000284,2.0,100.90833333333335,101.34455924742358,-1.1445592474235724,103.59423664346345,1.5205227666286874
2012-02-01,100.2,0.20000000000000284,2.0833333333333335,100.90833333333335,101.44153104058525,-1.2415310405852438,103.43214531119949,1.2229240986909389
2012-03-01,100.3,0.29999999999999716,2.1666666666666665,100.90833333333335,101.39563293868264,-1.095632938682641,103.15432400627172,1.074203650139566
2012-04-01,100.0,0.0,2.25,100.90833333333335,101.2191633010547,-1.2191633010547065,101.76446097188281,0.04345719396900449
2012-05-01,99.7,-0.29999999999999716,2.3333333333333335,100.90833333333335,100.95940702459242,-1.25940702459242,101.80436981338622,0.5762733384104877
2012-06-01,99.7,-0.29999999999999716,2.4166666666666665,100.90833333333335,100.6859655938028,-0.9859655938028027,102.14495674862975,1.4114841875461792
2012-07-01,99.8,-0.20000000000000284,2.5,100.90833333333335,100.47210741924312,-0.6721074192431189,101.33172320496173,0.9620570904398562
2012-08-01,99.7,-0.29999999999999716,2.5833333333333335,100.90833333333335,100.37513562608144,-0.6751356260814418,100.98680809560457,0.7526493167564894
2012-09-01,100.1,0.09999999999999432,2.6666666666666665,100.90833333333335,100.42103372798405,-0.3210337279840587,100.71963191953274,0.3563722843082644
2012-10-01,100.0,0.0,2.75,100.90833333333335,100.59750336561198,-0.5975033656119848,101.25169640935144,0.5293201959086105
2012-11-01,99.9,-0.09999999999999432,2.8333333333333335,100.90833333333335,100.85725964207427,-0.9572596420742627,101.33821040458757,0.12292688820666342
2012-12-01,100.2,0.20000000000000284,2.9166666666666665,100.90833333333335,101.13070107286389,-0.9307010728638829,101.35031035262588,-0.3595970776471944
2013-01-01,100.2,0.20000000000000284,3.0,100.90833333333335,101.34455924742358,-1.1445592474235724,102.01603577112799,-0.057678105706770566
2013-02-01,99.9,-0.09999999999999432,3.0833333333333335,100.90833333333335,101.44153104058525,-1.541531040585241,101.3794761930359,-0.8297450194726537
2013-03-01,100.0,0.0,3.1666666666666665,100.90833333333335,101.39563293868264,-1.3956329386826383,103.06910793442024,0.9889875782880893
2013-04-01,100.0,0.0,3.25,100.90833333333335,101.2191633010547,-1.2191633010547065,102.09200348613436,0.37099970822055184
2013-05-01,100.1,0.09999999999999432,3.3333333333333335,100.90833333333335,100.95940702459242,-0.8594070245924286,102.14645041362814,0.918353938652416
2013-06-01,100.0,0.0,3.4166666666666665,100.90833333333335,100.6859655938028,-0.6859655938028055,101.41459279790828,0.6811202368247251
2013-07-01,99.9,-0.09999999999999432,3.5,100.90833333333335,100.47210741924312,-0.5721074192431104,100.45355205891386,0.08388594439198016
2013-08-01,99.3,-0.7000000000000028,3.5833333333333335,100.90833333333335,100.37513562608144,-1.0751356260814475,99.77303563098519,-0.4611231478628923
2013-09-01,100.0,0.0,3.6666666666666665,100.90833333333335,100.42103372798405,-0.42103372798405303,98.98031487304192,-1.3829447621825608
2013-10-01,100.4,0.4000000000000057,3.75,100.90833333333335,100.59750336561198,-0.19750336561197912,99.73829879461412,-0.9840774188287043
2013-11-01,100.2,0.20000000000000284,3.8333333333333335,100.90833333333335,100.85725964207427,-0.6572596420742656,99.95528844023073,-1.259995076150176
2013-12-01,100.5,0.5,3.9166666666666665,100.90833333333335,101.13070107286389,-0.6307010728638858,99.56179339649792,-2.1481140337751583
2014-01-01,100.2,0.20000000000000284,4.0,100.90833333333335,101.34455924742358,-1.1445592474235724,100.16134546214471,-1.9123684146900501
2014-02-01,100.6,0.5999999999999943,4.083333333333333,100.90833333333335,101.44153104058525,-0.8415310405852523,100.23367208849045,-1.9755491240181016
2014-03-01,102.2,2.200000000000003,4.166666666666667,100.90833333333335,101.39563293868264,0.8043670613173646,99.36426220783653,-2.715858148295638
2014-04-01,103.3,3.299999999999997,4.25,100.90833333333335,101.2191633010547,2.0808366989452907,97.75942326630263,-3.9615805116111744
2014-05-01,103.8,3.799999999999997,4.333333333333333,100.90833333333335,100.95940702459244,2.84059297540756,97.79195217320628,-3.4361443017694455
2014-06-01,101.0,1.0,4.416666666666667,100.90833333333335,100.6859655938028,0.31403440619719447,101.57509171735886,0.8416191562752999
2014-07-01,100.4,0.4000000000000057,4.5,100.90833333333335,100.47210741924312,-0.07210741924311037,101.39032451536991,1.0206584008480348
2014-08-01,100.8,0.7999999999999972,4.583333333333333,100.90833333333335,100.37513562608144,0.4248643739185525,100.29984295633318,0.06568417748509603
2014-09-01,102.9,2.9000000000000057,4.666666666666667,100.90833333333335,100.42103372798405,2.4789662720159527,100.21267119960606,-0.15058843561840263
2014-10-01,102.4,2.4000000000000057,4.75,100.90833333333335,100.59750336561198,1.8024966343880209,99.79262162462904,-0.9297545888137932
