degree,seasonal,cv_rmse
0,True,0.9740186104840705
0,False,0.9751516576728104
1,True,1.0589840273212932
1,False,1.0627923058108655
2,False,1.348456186483768
2,True,1.371395311327154
3,True,2.016143715430734
3,False,2.0846975322762393
