window,q,reconstruction_rmse,injected_f1
7,4.5,0.3645559006149001,0.5583333333333335
7,3.5,0.8078075961501284,0.5317460317460317
7,3.0,0.8983736376920266,0.3847222222222222
19,4.5,1.4217385043650514,0.32182539682539685
7,2.5,1.4413038934992815,0.3349326599326599
13,4.5,1.6221171433005896,0.29583333333333334
13,3.0,1.7256646967486298,0.46858465608465605
13,3.5,1.733128358149511,0.3680555555555556
13,2.5,1.7388737768330846,0.4652116402116402
19,3.0,1.7771092056324493,0.4437830687830688
19,3.5,1.7799511949600726,0.34027777777777785
19,2.5,1.7942101517055749,0.44067460317460316
