date,forecast_cpi,forecast_inflation_pct
2026-01-01,101.0332942371006,1.0332942371006055
2026-02-01,100.99538791130699,0.9953879113069917
2026-03-01,100.88740382984352,0.887403829843521
2026-04-01,100.73827624013374,0.738276240133743
2026-05-01,100.58796375940958,0.5879637594095755
2026-06-01,100.47674249549341,0.4767424954934114
2026-07-01,100.43441409623274,0.43441409623274296
2026-08-01,100.47232042202636,0.4723204220263568
2026-09-01,100.58030450348983,0.5803045034898275
2026-10-01,100.7294320931996,0.7294320931996054
2026-11-01,100.87974457392377,0.879744573923773
2026-12-01,100.99096583783994,0.9909658378399371
2027-01-01,101.0332942371006,1.0332942371006055
2027-02-01,100.99538791130699,0.9953879113069917
2027-03-01,100.88740382984352,0.887403829843521
2027-04-01,100.73827624013374,0.738276240133743
2027-05-01,100.58796375940958,0.5879637594095755
2027-06-01,100.47674249549341,0.4767424954934114
2027-07-01,100.43441409623274,0.43441409623274296
2027-08-01,100.47232042202636,0.4723204220263568
2027-09-01,100.58030450348983,0.5803045034898275
2027-10-01,100.7294320931996,0.7294320931996054
2027-11-01,100.87974457392376,0.8797445739237588
2027-12-01,100.99096583783994,0.9909658378399371
2028-01-01,101.0332942371006,1.0332942371006055
2028-02-01,100.99538791130699,0.9953879113069917
2028-03-01,100.88740382984352,0.887403829843521
2028-04-01,100.73827624013374,0.738276240133743
2028-05-01,100.58796375940958,0.5879637594095755
2028-06-01,100.47674249549341,0.4767424954934114
2028-07-01,100.43441409623274,0.43441409623274296
2028-08-01,100.47232042202636,0.4723204220263568
2028-09-01,100.58030450348983,0.5803045034898275
2028-10-01,100.7294320931996,0.7294320931996054
2028-11-01,100.87974457392377,0.879744573923773
2028-12-01,100.99096583783994,0.9909658378399371
2029-01-01,101.0332942371006,1.0332942371006055
2029-02-01,100.99538791130699,0.9953879113069917
2029-03-01,100.88740382984352,0.887403829843521
2029-04-01,100.73827624013374,0.738276240133743
2029-05-01,100.58796375940958,0.5879637594095755
2029-06-01,100.47674249549341,0.4767424954934114
2029-07-01,100.43441409623274,0.43441409623274296
2029-08-01,100.47232042202636,0.4723204220263568
2029-09-01,100.58030450348983,0.5803045034898275
2029-10-01,100.7294320931996,0.7294320931996054
2029-11-01,100.87974457392376,0.8797445739237588
2029-12-01,100.99096583783994,0.9909658378399371
2030-01-01,101.0332942371006,1.0332942371006055
2030-02-01,100.99538791130699,0.9953879113069917
2030-03-01,100.88740382984352,0.887403829843521
2030-04-01,100.73827624013374,0.738276240133743
2030-05-01,100.58796375940958,0.5879637594095755
2030-06-01,100.47674249549341,0.4767424954934114
2030-07-01,100.43441409623274,0.43441409623274296
2030-08-01,100.47232042202636,0.4723204220263568
2030-09-01,100.58030450348983,0.5803045034898275
2030-10-01,100.7294320931996,0.7294320931996054
2030-11-01,100.87974457392377,0.879744573923773
2030-12-01,100.99096583783994,0.9909658378399371
2031-01-01,101.0332942371006,1.0332942371006055
2031-02-01,100.99538791130699,0.9953879113069917
2031-03-01,100.88740382984352,0.887403829843521
2031-04-01,100.73827624013374,0.738276240133743
2031-05-01,100.58796375940959,0.5879637594095897
2031-06-01,100.47674249549341,0.4767424954934114
2031-07-01,100.43441409623274,0.43441409623274296
2031-08-01,100.47232042202636,0.4723204220263568
2031-09-01,100.58030450348983,0.5803045034898275
2031-10-01,100.7294320931996,0.7294320931996054
2031-11-01,100.87974457392377,0.879744573923773
2031-12-01,100.99096583783994,0.9909658378399371
2032-01-01,101.0332942371006,1.0332942371006055
2032-02-01,100.99538791130699,0.9953879113069917
2032-03-01,100.88740382984352,0.887403829843521
2032-04-01,100.73827624013374,0.738276240133743
2032-05-01,100.58796375940958,0.5879637594095755
2032-06-01,100.47674249549341,0.4767424954934114
2032-07-01,100.43441409623274,0.43441409623274296
2032-08-01,100.47232042202636,0.4723204220263568
2032-09-01,100.58030450348983,0.5803045034898275
2032-10-01,100.7294320931996,0.7294320931996054
2032-11-01,100.87974457392377,0.879744573923773
2032-12-01,100.99096583783994,0.9909658378399371
2033-01-01,101.0332942371006,1.0332942371006055
2033-02-01,100.99538791130699,0.9953879113069917
2033-03-01,100.88740382984352,0.887403829843521
2033-04-01,100.73827624013374,0.738276240133743
2033-05-01,100.58796375940958,0.5879637594095755
2033-06-01,100.47674249549341,0.4767424954934114
2033-07-01,100.43441409623274,0.43441409623274296
2033-08-01,100.47232042202636,0.4723204220263568
2033-09-01,100.58030450348984,0.5803045034898417
2033-10-01,100.7294320931996,0.7294320931996054
2033-11-01,100.87974457392376,0.8797445739237588
2033-12-01,100.99096583783994,0.9909658378399371
