date,cpi,development,hampel_clean,hampel_flag,hampel_score,adaptive_clean,adaptive_flag,adaptive_score,selected_clean,fitted,residual_original
2010-01-01,101.8,True,99.75,True,5.530824227708073,101.8,False,0.60704168352893,99.75,101.0332942371006,0.7667057628993916
2010-02-01,101.9,True,99.8,True,3.5410764872522145,101.9,False,1.4389136202167176,99.8,100.99538791130699,0.904612088693014
2010-03-01,100.9,True,100.9,False,0.2697963037906419,100.9,False,0.2697963037906419,100.9,100.88740382984352,0.012596170156484732
2010-04-01,99.7,True,99.7,False,0.8093889113719162,99.7,False,0.5157870513644519,99.7,100.73827624013374,-1.0382762401337402
2010-05-01,99.4,True,99.4,False,0.9229873550732308,99.4,False,0.9153803164325168,99.4,100.58796375940958,-1.1879637594095698
2010-06-01,99.6,True,99.6,False,0.8093889113719162,99.6,False,0.6744907594765952,99.6,100.47674249549341,-0.8767424954934171
2010-07-01,99.8,True,99.8,False,0.9442870632672307,99.8,False,0.3372453797382976,99.8,100.43441409623274,-0.6344140962327458
2010-08-01,101.2,True,101.2,False,0.618283196186867,101.2,False,0.618283196186867,101.2,100.47232042202636,0.727679577973646
2010-09-01,102.9,True,100.65,True,3.372453797382955,102.9,False,3.372453797382955,100.65,100.58030450348983,2.319695496510178
2010-10-01,100.5,True,100.5,False,0.4292213923941866,100.5,False,0.4292213923941866,100.5,100.7294320931996,-0.22943209319960545
2010-11-01,100.3,True,100.3,False,0.9274247942803003,100.3,False,0.9274247942803003,100.3,100.87974457392377,-0.5797445739237759
2010-12-01,100.8,True,100.8,False,0.07494341771961814,100.8,False,0.07494341771961814,100.8,100.99096583783994,-0.19096583783993992
2011-01-01,101.0,True,101.0,False,0.29977367087848916,101.0,False,0.25293403480373366,101.0,101.0332942371006,-0.03329423710060553
2011-02-01,100.9,True,100.9,False,0.1498868354392552,100.9,False,0.0,100.9,100.99538791130699,-0.09538791130698598
2011-03-01,101.4,True,101.4,False,1.4453373417355553,101.4,False,1.4453373417355553,101.4,100.88740382984352,0.5125961701564847
2011-04-01,101.3,True,101.3,False,1.4332928638877347,101.3,False,1.011736139214909,101.3,100.73827624013374,0.5617237598662541
2011-05-01,100.8,True,100.8,False,0.6070416835289308,100.8,False,0.14453373417354878,100.8,100.58796375940958,0.2120362405904217
2011-06-01,100.4,True,100.4,False,0.14988683543923392,100.4,False,0.03967592702802141,100.4,100.47674249549341,-0.07674249549340573
2011-07-01,98.7,True,98.7,False,2.697963037906405,98.7,False,2.6136516929718105,98.7,100.43441409623274,-1.7344140962327401
2011-08-01,99.6,True,99.6,False,2.0234722784297854,99.6,False,1.686226898691464,99.6,100.47232042202636,-0.8723204220263625
2011-09-01,100.1,True,100.1,False,0.3372453797383215,100.1,False,0.13489815189530754,100.1,100.58030450348983,-0.4803045034898332
2011-10-01,100.0,True,100.0,False,0.899321012635439,100.0,False,0.6744907594764994,100.0,100.7294320931996,-0.7294320931996054
2011-11-01,100.1,True,100.1,False,0.22483025315890767,100.1,False,0.22483025315890767,100.1,100.87974457392377,-0.7797445739237787
2011-12-01,100.2,True,100.2,False,0.5058680696074583,100.2,False,0.47693698987353117,100.2,100.99096583783994,-0.7909658378399342
2012-01-01,100.2,True,100.2,False,0.6744907594765951,100.2,False,0.3372453797382736,100.2,101.0332942371006,-0.8332942371006027
2012-02-01,100.2,True,100.2,False,0.6744907594765951,100.2,False,0.3372453797382736,100.2,100.99538791130699,-0.7953879113069888
2012-03-01,100.3,True,100.3,False,1.1241512657942827,100.3,False,1.1241512657942827,100.3,100.88740382984352,-0.5874038298435238
2012-04-01,100.0,True,100.0,False,0.22483025315884378,100.0,False,0.0,100.0,100.73827624013374,-0.738276240133743
2012-05-01,99.7,True,99.7,False,1.5738117721119702,99.7,False,0.6744907594765951,99.7,100.58796375940958,-0.8879637594095726
2012-06-01,99.7,True,99.7,False,1.5738117721119702,99.7,False,0.6744907594766192,99.7,100.47674249549341,-0.7767424954934086
2012-07-01,99.8,True,99.8,False,1.1241512657942827,99.8,False,0.22483025315885444,99.8,100.43441409623274,-0.6344140962327458
2012-08-01,99.7,True,99.7,False,1.0117361392148687,99.7,False,0.6744907594765952,99.7,100.47232042202636,-0.772320422026354
2012-09-01,100.1,True,100.1,False,0.5058680696074104,100.1,False,0.5058680696074104,100.1,100.58030450348983,-0.4803045034898332
2012-10-01,100.0,True,100.0,False,0.22483025315885444,100.0,False,0.0,100.0,100.7294320931996,-0.7294320931996054
2012-11-01,99.9,True,99.9,False,0.4496605063177089,99.9,False,0.4496605063177089,99.9,100.87974457392377,-0.9797445739237673
2012-12-01,100.2,True,100.2,False,1.3489815189532863,100.2,False,1.3489815189532863,100.2,100.99096583783994,-0.7909658378399342
2013-01-01,100.2,True,100.2,False,1.3489815189532863,100.2,False,1.3489815189532863,100.2,101.0332942371006,-0.8332942371006027
